rule_id|created|last_updated|parent_rule|child_rules|service_name
-------|-------|------------|-----------|-----------|------------
000-rule-index|2025-05-25|2025-11-17|||
010-foundational-principles|2025-05-25|2025-11-17|||
015-project-structure-standards|2025-05-25|2025-11-17|||
020-architectural-mandates|2025-05-25|2025-11-18||020.1-content-service-architecture,020.2-spellchecker-service-architecture,020.3-batch-orchestrator-service-architecture,020.4-common-core-architecture,020.5-essay-lifecycle-service-architecture,020.6-file-service-architecture,020.7-cj-assessment-service,020.8-batch-conductor-service,020.9-class-management-service,020.10-api-gateway-service,020.11-service-libraries-architecture,020.12-result-aggregator-service-architecture,020.13-llm-provider-service-architecture,020.14-websocket-service,020.15-nlp-service-architecture,020.16-email-service-architecture,020.17-entitlements-service-architecture,020.18-language-tool-service-patterns,020.19-eng5-np-runner-container,020.20-cj-llm-prompt-contract|
020.1-content-service-architecture|2025-06-27|2025-11-17|020-architectural-mandates||content_service
020.10-api-gateway-service|2025-07-19|2025-11-17|020-architectural-mandates||api_gateway_service
020.11-service-libraries-architecture|2025-06-28|2025-11-17|020-architectural-mandates||
020.12-result-aggregator-service-architecture|2025-06-28|2025-11-17|020-architectural-mandates||result_aggregator_service
020.13-llm-provider-service-architecture|2025-07-03|2025-11-19|020-architectural-mandates||llm_provider_service
020.14-websocket-service|2025-07-19|2025-11-17|020-architectural-mandates||websocket_service
020.15-nlp-service-architecture|2025-07-30|2025-11-17|020-architectural-mandates||nlp_service
020.16-email-service-architecture|2025-08-24|2025-11-17|020-architectural-mandates||email_service
020.17-entitlements-service-architecture|2025-08-31|2025-11-17|020-architectural-mandates||entitlements_service
020.18-language-tool-service-patterns|2025-09-10|2025-11-17|020-architectural-mandates||language_tool_service
020.19-eng5-np-runner-container|2025-11-10|2025-11-17|020-architectural-mandates||
020.2-spellchecker-service-architecture|2025-08-05|2025-11-17|020-architectural-mandates||spellchecker_service
020.20-cj-llm-prompt-contract|2025-11-13|2025-11-17|020-architectural-mandates||
020.3-batch-orchestrator-service-architecture|2025-06-27|2025-11-17|020-architectural-mandates||batch_orchestrator_service
020.4-common-core-architecture|2025-06-27|2025-11-17|020-architectural-mandates||
020.5-essay-lifecycle-service-architecture|2025-06-27|2025-11-17|020-architectural-mandates||essay_lifecycle_service
020.6-file-service-architecture|2025-06-27|2025-11-17|020-architectural-mandates||file_service
020.7-cj-assessment-service|2025-06-27|2025-11-17|020-architectural-mandates||cj_assessment_service
020.8-batch-conductor-service|2025-06-27|2025-11-17|020-architectural-mandates||batch_conductor_service
020.9-class-management-service|2025-06-28|2025-11-17|020-architectural-mandates||class_management_service
030-event-driven-architecture-eda-standards|2025-05-25|2025-11-17|||
035-complete-processing-flow-overview|2025-09-01|2025-11-17|||
036-phase1-processing-flow|2025-09-01|2025-11-17|||
037-phase2-processing-flow|2025-09-01|2025-11-17||037.1-cj-assessment-phase-processing-flow|
037.1-cj-assessment-phase-processing-flow|2025-09-04|2025-11-17|037-phase2-processing-flow||
040-service-implementation-guidelines|2025-05-25|2025-11-17|||
041-http-service-blueprint|2025-06-05|2025-11-17||041.1-fastapi-integration-patterns|
041.1-fastapi-integration-patterns|2025-09-01|2025-11-17|041-http-service-blueprint||
042-async-patterns-and-di|2025-06-05|2025-11-17||042.1-transactional-outbox-pattern,042.2-http-proxy-service-patterns|
042.1-transactional-outbox-pattern|2025-07-25|2025-11-17|042-async-patterns-and-di||
042.2-http-proxy-service-patterns|2025-09-01|2025-11-17|042-async-patterns-and-di||
043-service-configuration-and-logging|2025-06-05|2025-11-20||043.1-kafka-redis-configuration-standards,043.2-correlation-context-pattern|
043.1-kafka-redis-configuration-standards|2025-08-17|2025-11-17|043-service-configuration-and-logging||
043.2-correlation-context-pattern|2025-09-07|2025-11-17|043-service-configuration-and-logging||
044-service-debugging-and-troubleshooting|2025-06-06|2025-11-17||044.1-circuit-breaker-observability,044.2-redis-kafka-state-debugging|
044.1-circuit-breaker-observability|2025-07-05|2025-11-17|044-service-debugging-and-troubleshooting||
044.2-redis-kafka-state-debugging|2025-07-14|2025-11-17|044-service-debugging-and-troubleshooting||
045-retry-logic|2025-06-23|2025-11-17|||
046-docker-container-debugging|2025-08-08|2025-11-17|||
047-security-configuration-standards|2025-08-23|2025-11-17|||
048-structured-error-handling-standards|2025-07-09|2025-11-17|||
049-smtp-email-provider-patterns|2025-09-01|2025-11-17|||
050-python-coding-standards|2025-05-25|2025-11-18|||
051-pydantic-v2-standards|2025-05-25|2025-11-17|||
052-event-contract-standards|2025-05-31|2025-11-17|||
