rule_id|created|last_updated
------|-------|------------
000-rule-index|2025-05-25|2025-11-17
010-foundational-principles|2025-05-25|2025-11-17
015-project-structure-standards|2025-05-25|2025-11-17
020-architectural-mandates|2025-05-25|2025-11-18
020.1-content-service-architecture|2025-06-27|2025-11-17
020.10-api-gateway-service|2025-07-19|2025-11-17
020.11-service-libraries-architecture|2025-06-28|2025-11-17
020.12-result-aggregator-service-architecture|2025-06-28|2025-11-17
020.13-llm-provider-service-architecture|2025-07-03|2025-11-19
020.14-websocket-service|2025-07-19|2025-11-17
020.15-nlp-service-architecture|2025-07-30|2025-11-17
020.16-email-service-architecture|2025-08-24|2025-11-17
020.17-entitlements-service-architecture|2025-08-31|2025-11-17
020.18-language-tool-service-patterns|2025-09-10|2025-11-17
020.19-eng5-np-runner-container|2025-11-10|2025-11-17
020.2-spellchecker-service-architecture|2025-08-05|2025-11-17
020.20-cj-llm-prompt-contract|2025-11-13|2025-11-17
020.3-batch-orchestrator-service-architecture|2025-06-27|2025-11-17
020.4-common-core-architecture|2025-06-27|2025-11-17
020.5-essay-lifecycle-service-architecture|2025-06-27|2025-11-17
020.6-file-service-architecture|2025-06-27|2025-11-17
020.7-cj-assessment-service|2025-06-27|2025-11-17
020.8-batch-conductor-service|2025-06-27|2025-11-17
020.9-class-management-service|2025-06-28|2025-11-17
030-event-driven-architecture-eda-standards|2025-05-25|2025-11-17
035-complete-processing-flow-overview|2025-09-01|2025-11-17
036-phase1-processing-flow|2025-09-01|2025-11-17
037-phase2-processing-flow|2025-09-01|2025-11-17
037.1-cj-assessment-phase-processing-flow|2025-09-04|2025-11-17
040-service-implementation-guidelines|2025-05-25|2025-11-17
041-http-service-blueprint|2025-06-05|2025-11-17
041.1-fastapi-integration-patterns|2025-09-01|2025-11-17
042-async-patterns-and-di|2025-06-05|2025-11-17
042.1-transactional-outbox-pattern|2025-07-25|2025-11-17
042.2-http-proxy-service-patterns|2025-09-01|2025-11-17
043-service-configuration-and-logging|2025-06-05|2025-11-20
043.1-kafka-redis-configuration-standards|2025-08-17|2025-11-17
043.2-correlation-context-pattern|2025-09-07|2025-11-17
044-service-debugging-and-troubleshooting|2025-06-06|2025-11-17
044.1-circuit-breaker-observability|2025-07-05|2025-11-17
044.2-redis-kafka-state-debugging|2025-07-14|2025-11-17
045-retry-logic|2025-06-23|2025-11-17
046-docker-container-debugging|2025-08-08|2025-11-17
047-security-configuration-standards|2025-08-23|2025-11-17
048-structured-error-handling-standards|2025-07-09|2025-11-17
049-smtp-email-provider-patterns|2025-09-01|2025-11-17
050-python-coding-standards|2025-05-25|2025-11-18
051-pydantic-v2-standards|2025-05-25|2025-11-17
052-event-contract-standards|2025-05-31|2025-11-17
053-sqlalchemy-core|2025-09-04|2025-11-17
053.1-migration-patterns|2025-09-04|2025-11-17
054-utility-markdown-mermaid-conversion|2025-09-01|2025-11-17
055-import-resolution-patterns|2025-06-29|2025-11-17
060-data-and-metadata-management|2025-05-25|2025-11-17
070-testing-and-quality-assurance|2025-05-25|2025-11-17
070.1-performance-testing-methodology|2025-08-03|2025-11-17
071-observability-index|2025-06-30|2025-11-17
071.1-observability-core-patterns|2025-09-01|2025-11-17
071.2-prometheus-metrics-patterns|2025-09-01|2025-11-17
071.3-jaeger-tracing-patterns|2025-09-01|2025-11-17
071.4-grafana-loki-patterns|2025-09-01|2025-11-20
071.5-llm-debugging-with-observability|2025-11-21|2025-11-21
072-grafana-playbook-rules|2025-06-20|2025-11-17
073-health-endpoint-implementation|2025-07-07|2025-11-17
075-test-creation-methodology|2025-08-03|2025-11-17
075.1-parallel-test-creation-methodology|2025-08-21|2025-11-17
077-service-anti-patterns|2025-07-07|2025-11-17
080-repository-workflow-and-tooling|2025-05-25|2025-11-17
081-pdm-dependency-management|2025-05-25|2025-11-17
082-ruff-linting-standards|2025-05-25|2025-11-17
083-pdm-standards-2025|2025-05-25|2025-11-17
084-docker-containerization-standards|2025-05-30|2025-11-17
084.1-docker-compose-v2-command-reference|2025-09-01|2025-11-17
085-database-migration-standards|2025-07-14|2025-11-21
086-mypy-configuration-standards|2025-07-07|2025-11-22
087-docker-development-patterns|2025-09-04|2025-11-17
090-documentation-standards|2025-05-25|2025-11-21
095-textual-tui-patterns|2025-11-01|2025-11-17
100-terminology-and-definitions|2025-05-25|2025-11-17
110-ai-agent-interaction-modes|2025-05-25|2025-11-22
110.1-planning-mode|2025-05-25|2025-11-17
110.2-coding-mode|2025-05-25|2025-11-17
110.3-testing-mode|2025-05-25|2025-11-17
110.4-debugging-mode|2025-05-25|2025-11-17
110.5-refactoring-linting-mode|2025-05-25|2025-11-18
110.6-agentic-implementation-flow|2025-09-09|2025-11-17
110.7-task-creation-and-decomposition-methodology|2025-09-09|2025-11-17
111-cloud-vm-execution-standards|2025-11-10|2025-11-17
200-frontend-core-rules|2025-08-17|2025-11-17
201-frontend-development-utilities|2025-09-01|2025-11-17
210-frontend-dashboard-rules|2025-08-17|2025-11-17
999-rule-management|2025-05-25|2025-11-17
