pair_id,essay_a_id,essay_b_id,comparison_type
1,JF24,LW24,student_student
2,HJ17,F+2,student_anchor
3,SN24,B1,student_anchor
4,E-,A1,anchor_anchor
5,JA24,A2,student_anchor
6,EK24,F+2,student_anchor
7,HJ17,D-,student_anchor
8,E+,A1,anchor_anchor
9,SA24,SN24,student_student
10,C-,B1,anchor_anchor
11,ER24,JP24,student_student
12,D+,C+,anchor_anchor
13,JF24,E-,student_anchor
14,LW24,B2,student_anchor
15,ES24,A2,student_anchor
16,II24,TK24,student_student
17,F+1,E-,anchor_anchor
18,ES24,JP24,student_student
19,JF24,E+,student_anchor
20,HJ17,B2,student_anchor
21,JA24,LW24,student_student
22,EK24,C+,student_anchor
23,II24,B1,student_anchor
24,SA24,C-,student_anchor
25,ER24,A2,student_anchor
26,TK24,A1,student_anchor
27,F+2,D-,anchor_anchor
28,SN24,D+,student_anchor
29,F+1,D+,anchor_anchor
30,HJ17,C+,student_anchor
31,EK24,SA24,student_student
32,B1,A1,anchor_anchor
33,II24,JP24,student_student
34,D-,A2,anchor_anchor
35,JA24,E-,student_anchor
36,ER24,E+,student_anchor
37,LW24,F+2,student_anchor
38,JF24,SN24,student_student
39,ES24,B2,student_anchor
40,TK24,B1,student_anchor
41,F+1,C-,anchor_anchor
42,E-,C+,anchor_anchor
43,HJ17,SA24,student_student
44,JP24,SN24,student_student
45,F+2,A2,anchor_anchor
46,LW24,D-,student_anchor
47,ES24,E+,student_anchor
48,JA24,TK24,student_student
49,JF24,A1,student_anchor
50,C-,B2,anchor_anchor
51,EK24,D+,student_anchor
52,ER24,LW24,student_student
53,II24,JF24,student_student
54,F+1,A1,anchor_anchor
55,SA24,E-,student_anchor
56,JP24,TK24,student_student
57,B2,A2,anchor_anchor
58,F+2,E+,anchor_anchor
59,D-,C-,anchor_anchor
60,JA24,SN24,student_student
61,II24,D+,student_anchor
62,ES24,C+,student_anchor
63,EK24,HJ17,student_student
64,JF24,B1,student_anchor
65,ER24,C-,student_anchor
66,II24,JA24,student_student
67,ES24,LW24,student_student
68,EK24,A1,student_anchor
69,E-,D+,anchor_anchor
70,F+1,C+,anchor_anchor
71,F+2,B2,anchor_anchor
72,JP24,E+,student_anchor
73,SN24,TK24,student_student
74,ER24,D-,student_anchor
75,B1,A2,anchor_anchor
76,HJ17,TK24,student_student
77,SA24,B2,student_anchor
78,F+1,B1,anchor_anchor
79,ES24,D-,student_anchor
80,JP24,A2,student_anchor
81,HJ17,D+,student_anchor
82,EK24,JF24,student_student
83,F+2,C-,anchor_anchor
84,JA24,A1,student_anchor
85,ER24,SA24,student_student
86,LW24,E+,student_anchor
87,II24,E-,student_anchor
88,ER24,C+,student_anchor
89,SN24,A1,student_anchor
90,E+,B1,anchor_anchor
91,ES24,C-,student_anchor
92,C+,B2,anchor_anchor
93,TK24,D+,student_anchor
94,HJ17,E-,student_anchor
95,JP24,LW24,student_student
96,F+1,D-,anchor_anchor
97,EK24,II24,student_student
98,JA24,JF24,student_student
99,SA24,F+2,student_anchor
100,SN24,E-,student_anchor
101,F+1,A2,anchor_anchor
102,JF24,D+,student_anchor
103,ES24,SA24,student_student
104,LW24,B1,student_anchor
105,ER24,B2,student_anchor
106,EK24,SN24,student_student
107,F+2,C+,anchor_anchor
108,HJ17,A1,student_anchor
109,JA24,JP24,student_student
110,E+,C-,anchor_anchor
111,II24,A1,student_anchor
112,JF24,TK24,student_student
113,E+,A2,anchor_anchor
114,D-,B2,anchor_anchor
115,JA24,B1,student_anchor
116,EK24,E-,student_anchor
117,ER24,F+2,student_anchor
118,LW24,C-,student_anchor
119,SA24,D-,student_anchor
120,HJ17,II24,student_student
121,ES24,F+2,student_anchor
122,JA24,D+,student_anchor
123,JP24,B1,student_anchor
124,LW24,A2,student_anchor
125,SA24,C+,student_anchor
126,TK24,E-,student_anchor
127,HJ17,SN24,student_student
128,F+1,E+,anchor_anchor
129,EK24,TK24,student_student
130,ER24,ES24,student_student
131,II24,SN24,student_student
132,JF24,JP24,student_student
133,F+1,B2,anchor_anchor
134,D-,C+,anchor_anchor
135,D+,A1,anchor_anchor
136,C-,A2,anchor_anchor
137,EK24,F+1,student_anchor
138,ER24,F+2,student_anchor
139,ES24,E-,student_anchor
140,HJ17,E+,student_anchor
