rater_name,pair_id,essay_a_id,essay_b_id,essay_a_display,essay_b_display,comparison_type
Rater_01,2,HJ17,F+2,essay_16,essay_15,student_anchor
Rater_02,4,E-,A1,essay_10,essay_01,anchor_anchor
Rater_03,1,JF24,LW24,essay_19,essay_21,student_student
Rater_04,3,SN24,B1,essay_23,essay_03,student_anchor
Rater_05,8,E+,A1,essay_09,essay_01,anchor_anchor
Rater_06,9,SA24,SN24,essay_22,essay_23,student_student
Rater_07,5,JA24,A2,essay_18,essay_02,student_anchor
Rater_08,10,C-,B1,essay_06,essay_03,anchor_anchor
Rater_09,11,ER24,JP24,essay_12,essay_20,student_student
Rater_10,6,EK24,F+2,essay_11,essay_15,student_anchor
Rater_11,12,D+,C+,essay_07,essay_05,anchor_anchor
Rater_12,16,II24,TK24,essay_17,essay_24,student_student
Rater_13,7,HJ17,D-,essay_16,essay_08,student_anchor
Rater_14,17,F+1,E-,essay_14,essay_10,anchor_anchor
Rater_01,18,ES24,JP24,essay_13,essay_20,student_student
Rater_02,13,JF24,E-,essay_19,essay_10,student_anchor
Rater_03,27,F+2,D-,essay_15,essay_08,anchor_anchor
Rater_04,21,JA24,LW24,essay_18,essay_21,student_student
Rater_05,14,LW24,B2,essay_21,essay_04,student_anchor
Rater_06,29,F+1,D+,essay_14,essay_07,anchor_anchor
Rater_07,31,EK24,SA24,essay_11,essay_22,student_student
Rater_08,15,ES24,A2,essay_13,essay_02,student_anchor
Rater_09,32,B1,A1,essay_03,essay_01,anchor_anchor
Rater_10,33,II24,JP24,essay_17,essay_20,student_student
Rater_11,19,JF24,E+,essay_19,essay_09,student_anchor
Rater_12,34,D-,A2,essay_08,essay_02,anchor_anchor
Rater_13,38,JF24,SN24,essay_19,essay_23,student_student
Rater_14,20,HJ17,B2,essay_16,essay_04,student_anchor
Rater_01,41,F+1,C-,essay_14,essay_06,anchor_anchor
Rater_02,43,HJ17,SA24,essay_16,essay_22,student_student
Rater_03,22,EK24,C+,essay_11,essay_05,student_anchor
Rater_04,42,E-,C+,essay_10,essay_05,anchor_anchor
Rater_05,44,JP24,SN24,essay_20,essay_23,student_student
Rater_06,23,II24,B1,essay_17,essay_03,student_anchor
Rater_07,45,F+2,A2,essay_15,essay_02,anchor_anchor
Rater_08,48,JA24,TK24,essay_18,essay_24,student_student
Rater_09,24,SA24,C-,essay_22,essay_06,student_anchor
Rater_10,50,C-,B2,essay_06,essay_04,anchor_anchor
Rater_11,52,ER24,LW24,essay_12,essay_21,student_student
Rater_12,25,ER24,A2,essay_12,essay_02,student_anchor
Rater_13,54,F+1,A1,essay_14,essay_01,anchor_anchor
Rater_14,53,II24,JF24,essay_17,essay_19,student_student
Rater_01,26,TK24,A1,essay_24,essay_01,student_anchor
Rater_02,57,B2,A2,essay_04,essay_02,anchor_anchor
Rater_03,56,JP24,TK24,essay_20,essay_24,student_student
Rater_04,28,SN24,D+,essay_23,essay_07,student_anchor
