pair_id,essay_a_id,essay_b_id,comparison_type,status
1,JA24,A1,student_anchor,core
2,JA24,B1,student_anchor,core
3,JA24,A2,student_anchor,core
4,II24,B2,student_anchor,core
5,II24,C+,student_anchor,core
6,II24,A1,student_anchor,core
7,ES24,C+,student_anchor,core
8,ES24,B1,student_anchor,core
9,ES24,C-,student_anchor,core
10,EK24,C+,student_anchor,core
11,EK24,C-,student_anchor,core
12,EK24,B2,student_anchor,core
13,JA24,II24,student_student,core
14,JA24,ES24,student_student,core
15,II24,ES24,student_student,core
16,ES24,EK24,student_student,core
17,A1,A2,anchor_anchor,core
18,B1,A1,anchor_anchor,core
19,C+,B2,anchor_anchor,core
20,ER24,C-,student_anchor,core
21,ER24,C+,student_anchor,core
22,ER24,D+,student_anchor,core
23,TK24,C-,student_anchor,core
24,TK24,D+,student_anchor,core
25,TK24,C+,student_anchor,core
26,SN24,C-,student_anchor,core
27,SN24,D+,student_anchor,core
28,SN24,C+,student_anchor,core
29,HJ17,D+,student_anchor,core
30,HJ17,D-,student_anchor,core
31,HJ17,C-,student_anchor,core
32,SA24,D+,student_anchor,core
33,SA24,D-,student_anchor,core
34,SA24,C-,student_anchor,core
35,LW24,D+,student_anchor,core
36,LW24,D-,student_anchor,core
37,LW24,C-,student_anchor,core
38,JF24,D+,student_anchor,core
39,JF24,D-,student_anchor,core
40,JF24,E+,student_anchor,core
41,ER24,TK24,student_student,core
42,TK24,SN24,student_student,core
43,SN24,HJ17,student_student,core
44,HJ17,SA24,student_student,core
45,SA24,LW24,student_student,core
46,LW24,JF24,student_student,core
47,C-,D+,anchor_anchor,core
48,D+,D-,anchor_anchor,core
49,C+,C-,anchor_anchor,core
50,D-,E+,anchor_anchor,core
51,EK24,ER24,student_student,core
52,ER24,SN24,student_student,core
53,HJ17,LW24,student_student,core
54,SA24,JF24,student_student,core
55,JP24,E+,student_anchor,core
56,JP24,E-,student_anchor,core
57,JP24,D-,student_anchor,core
58,JP24,JF24,student_student,core
59,JP24,LW24,student_student,core
60,JP24,SA24,student_student,core
61,JF24,LW24,student_student,core
62,E+,E-,anchor_anchor,core
63,SA24,B2,student_anchor,core
64,E-,F+1,anchor_anchor,core
65,F+1,F+2,anchor_anchor,core
66,JP24,F+2,student_anchor,core
67,JA24,B2,student_anchor,core
68,II24,B1,student_anchor,core
69,ES24,C+,student_anchor,core
70,EK24,C-,student_anchor,core
71,ER24,C-,student_anchor,core
72,TK24,D+,student_anchor,core
73,SN24,D+,student_anchor,core
74,HJ17,D-,student_anchor,core
75,SA24,D-,student_anchor,core
76,LW24,D-,student_anchor,core
77,JF24,E+,student_anchor,core
78,JP24,E-,student_anchor,core
79,C+,B1,anchor_anchor,core
80,B1,B2,anchor_anchor,core
81,B2,A2,anchor_anchor,core
82,ER24,B1,student_anchor,core
83,JA24,A2,student_anchor,core
84,JP24,F+1,student_anchor,core
85,ES24,B2,student_anchor,extra
86,EK24,B1,student_anchor,extra
87,ER24,B2,student_anchor,extra
88,TK24,B1,student_anchor,extra
89,SN24,B2,student_anchor,extra
90,JP24,B1,student_anchor,extra
91,C+,B1,anchor_anchor,extra
92,B2,A1,anchor_anchor,extra
93,D+,C-,anchor_anchor,extra
94,SA24,B1,student_anchor,extra
95,JA24,C+,student_anchor,extra
96,II24,B1,student_anchor,extra
97,ES24,A1,student_anchor,extra
98,ER24,B2,student_anchor,extra
99,JA24,B2,student_anchor,extra
100,II24,A2,student_anchor,extra
101,JA24,C-,student_anchor,extra
102,II24,B2,student_anchor,extra
103,ES24,A2,student_anchor,extra
104,SN24,B2,student_anchor,extra
105,TK24,B2,student_anchor,extra
106,EK24,A1,student_anchor,extra
107,HJ17,B1,student_anchor,extra
108,LW24,B1,student_anchor,extra
109,JF24,B1,student_anchor,extra
110,SA24,B2,student_anchor,extra
111,HJ17,B2,student_anchor,extra
112,JF24,C+,student_anchor,extra
113,LW24,C+,student_anchor,extra
114,JF24,C+,student_anchor,extra
115,ER24,A1,student_anchor,extra
116,TK24,A1,student_anchor,extra
117,SN24,B1,student_anchor,extra
118,HJ17,B1,student_anchor,extra
119,JP24,C-,student_anchor,extra
120,EK24,B1,student_anchor,extra
121,ER24,B1,student_anchor,extra
122,JP24,B2,student_anchor,extra
123,JA24,A2,student_anchor,extra
124,II24,A2,student_anchor,extra
125,ES24,B2,student_anchor,extra
126,JP24,C+,student_anchor,extra
127,JP24,B1,student_anchor,extra
128,JP24,C+,student_anchor,extra
129,LW24,B2,student_anchor,extra
130,JF24,B2,student_anchor,extra
131,C+,B2,anchor_anchor,extra
132,B1,B2,anchor_anchor,extra
133,ES24,B2,student_anchor,extra
134,D+,C+,anchor_anchor,extra
135,SN24,B2,student_anchor,extra
136,HJ17,B2,student_anchor,extra
137,JA24,B1,student_anchor,extra
138,JP24,B2,student_anchor,extra
139,ER24,A2,student_anchor,extra
140,B1,A2,anchor_anchor,extra
