pair_id,essay_a_id,essay_b_id,comparison_type
1,F+1,F+2,anchor_anchor
2,F+2,E-,anchor_anchor
3,E-,E+,anchor_anchor
4,E+,D-,anchor_anchor
5,D-,D+,anchor_anchor
6,D+,C-,anchor_anchor
7,C-,C+,anchor_anchor
8,C+,B1,anchor_anchor
9,B1,B2,anchor_anchor
10,B2,A1,anchor_anchor
11,A1,A2,anchor_anchor
12,EK24,F+1,student_anchor
13,ER24,F+1,student_anchor
14,ES24,F+1,student_anchor
15,HJ17,F+1,student_anchor
16,II24,F+1,student_anchor
17,JA24,F+1,student_anchor
18,JF24,F+1,student_anchor
19,JP24,F+1,student_anchor
20,LW24,F+1,student_anchor
21,SA24,F+1,student_anchor
22,SN24,F+1,student_anchor
23,TK24,F+1,student_anchor
24,EK24,A2,student_anchor
25,ER24,JF24,student_student
26,E+,A1,anchor_anchor
27,ES24,B1,student_anchor
28,C+,A2,anchor_anchor
29,II24,B2,student_anchor
30,JA24,SA24,student_student
31,JF24,A2,student_anchor
32,JP24,C+,student_anchor
33,LW24,E-,student_anchor
34,SA24,A1,student_anchor
35,TK24,D-,student_anchor
36,SA24,B1,student_anchor
37,EK24,ER24,student_student
38,C-,B1,anchor_anchor
39,SN24,E+,student_anchor
40,II24,LW24,student_student
41,JA24,D-,student_anchor
42,ES24,TK24,student_student
43,E-,C-,anchor_anchor
44,HJ17,D-,student_anchor
45,D+,B2,anchor_anchor
46,JP24,SN24,student_student
47,EK24,E+,student_anchor
48,TK24,F+2,student_anchor
49,JF24,LW24,student_student
50,HJ17,B2,student_anchor
51,HJ17,JP24,student_student
52,ES24,JA24,student_student
53,II24,D-,student_anchor
54,ER24,C+,student_anchor
55,TK24,A2,student_anchor
56,JP24,B2,student_anchor
57,SN24,C-,student_anchor
58,JA24,E+,student_anchor
59,LW24,C+,student_anchor
60,SA24,D+,student_anchor
61,F+2,A1,anchor_anchor
62,ER24,II24,student_student
63,HJ17,JF24,student_student
64,EK24,ES24,student_student
65,D+,A2,anchor_anchor
66,HJ17,B1,student_anchor
67,E+,C+,anchor_anchor
68,TK24,C-,student_anchor
69,ER24,A1,student_anchor
70,JF24,B2,student_anchor
71,EK24,JP24,student_student
72,LW24,SA24,student_student
73,ES24,II24,student_student
74,JA24,F+2,student_anchor
75,E-,D-,anchor_anchor
76,ES24,SN24,student_student
77,SA24,E+,student_anchor
78,JF24,C-,student_anchor
79,E-,A2,anchor_anchor
80,TK24,B2,student_anchor
81,LW24,A1,student_anchor
82,JP24,D+,student_anchor
83,ER24,HJ17,student_student
84,II24,C+,student_anchor
85,F+2,B1,anchor_anchor
86,SN24,D-,student_anchor
87,EK24,JA24,student_student
88,ES24,E-,student_anchor
89,E+,B2,anchor_anchor
90,HJ17,A2,student_anchor
91,EK24,LW24,student_student
92,II24,F+2,student_anchor
93,SN24,C+,student_anchor
94,SA24,TK24,student_student
95,JF24,D-,student_anchor
96,JA24,C-,student_anchor
97,D+,B1,anchor_anchor
98,JP24,A1,student_anchor
99,ER24,E-,student_anchor
100,LW24,D+,student_anchor
101,ES24,A1,student_anchor
102,EK24,D-,student_anchor
103,HJ17,E+,student_anchor
104,SN24,B2,student_anchor
105,JF24,F+2,student_anchor
106,JA24,C+,student_anchor
107,JP24,C-,student_anchor
108,II24,A2,student_anchor
109,ER24,B1,student_anchor
110,JF24,SA24,student_student
111,TK24,C+,student_anchor
112,ES24,D+,student_anchor
113,EK24,B1,student_anchor
114,E-,B2,anchor_anchor
115,JP24,SA24,student_student
116,II24,C-,student_anchor
117,HJ17,LW24,student_student
118,ER24,JA24,student_student
119,SN24,F+2,student_anchor
120,D-,A1,anchor_anchor
121,TK24,E+,student_anchor
122,SA24,A2,student_anchor
123,ES24,JF24,student_student
124,JA24,B2,student_anchor
125,ER24,TK24,student_student
126,EK24,C-,student_anchor
127,JP24,E-,student_anchor
128,II24,E+,student_anchor
129,F+2,D+,anchor_anchor
130,D-,B1,anchor_anchor
131,SN24,A2,student_anchor
132,C+,A1,anchor_anchor
133,HJ17,JA24,student_student
134,LW24,TK24,student_student
135,JF24,C+,student_anchor
136,E+,D+,anchor_anchor
137,EK24,B2,student_anchor
138,C-,A1,anchor_anchor
139,ER24,SN24,student_student
140,JP24,D-,student_anchor
141,II24,SA24,student_student
142,ES24,HJ17,student_student
143,LW24,B1,student_anchor
144,F+2,A2,anchor_anchor
145,JA24,E-,student_anchor
146,ER24,D+,student_anchor
147,HJ17,C-,student_anchor
148,LW24,SN24,student_student
149,SA24,E-,student_anchor
150,EK24,F+2,student_anchor
