pair_id,essay_a_id,essay_b_id,comparison_type,status
1,F+1,F+2,anchor_anchor,core
2,F+2,E-,anchor_anchor,core
3,E-,E+,anchor_anchor,core
4,E+,D-,anchor_anchor,core
5,D-,D+,anchor_anchor,core
6,D+,C-,anchor_anchor,core
7,C-,C+,anchor_anchor,core
8,C+,B1,anchor_anchor,core
9,B1,B2,anchor_anchor,core
10,B2,A1,anchor_anchor,core
11,A1,A2,anchor_anchor,core
12,JA24,B1,student_anchor,core
13,JA24,A1,student_anchor,core
14,JA24,A2,student_anchor,core
15,II24,C+,student_anchor,core
16,II24,B2,student_anchor,core
17,II24,A1,student_anchor,core
18,ES24,C-,student_anchor,core
19,ES24,C+,student_anchor,core
20,ES24,B1,student_anchor,core
21,EK24,C-,student_anchor,core
22,EK24,C+,student_anchor,core
23,EK24,B2,student_anchor,core
24,ER24,D+,student_anchor,core
25,ER24,C+,student_anchor,core
26,ER24,B1,student_anchor,core
27,TK24,D+,student_anchor,core
28,TK24,C-,student_anchor,core
29,TK24,C+,student_anchor,core
30,SN24,D+,student_anchor,core
31,SN24,C-,student_anchor,core
32,SN24,C+,student_anchor,core
33,HJ17,D-,student_anchor,core
34,HJ17,D+,student_anchor,core
35,HJ17,C-,student_anchor,core
36,SA24,D-,student_anchor,core
37,SA24,C-,student_anchor,core
38,SA24,B2,student_anchor,core
39,LW24,D-,student_anchor,core
40,LW24,D+,student_anchor,core
41,LW24,C-,student_anchor,core
42,JF24,E+,student_anchor,core
43,JF24,D-,student_anchor,core
44,JF24,D+,student_anchor,core
45,JP24,F+1,student_anchor,core
46,JP24,E-,student_anchor,core
47,JP24,D-,student_anchor,core
48,F+2,A2,anchor_anchor,core
49,ES24,F+1,student_anchor,core
50,JA24,E+,student_anchor,core
51,F+2,A1,anchor_anchor,core
52,SA24,E-,student_anchor,core
53,B2,A2,anchor_anchor,core
54,JF24,F+1,student_anchor,core
55,HJ17,TK24,student_student,core
56,JA24,E-,student_anchor,core
57,II24,SA24,student_student,core
58,EK24,ER24,student_student,core
59,JA24,F+1,student_anchor,core
60,ER24,A2,student_anchor,core
61,II24,JF24,student_student,core
62,F+2,E+,anchor_anchor,core
63,EK24,SA24,student_student,core
64,JP24,SN24,student_student,core
65,ES24,HJ17,student_student,core
66,JA24,TK24,student_student,core
67,LW24,E-,student_anchor,core
68,LW24,A1,student_anchor,core
69,JF24,B1,student_anchor,core
70,JP24,LW24,student_student,core
71,ER24,E+,student_anchor,core
72,EK24,F+2,student_anchor,core
73,LW24,F+1,student_anchor,core
74,ES24,II24,student_student,core
75,SN24,A2,student_anchor,core
76,SA24,TK24,student_student,core
77,JP24,B1,student_anchor,core
78,JF24,A2,student_anchor,core
79,ES24,E+,student_anchor,core
80,F+1,B2,anchor_anchor,core
81,HJ17,E-,student_anchor,core
82,SA24,A1,student_anchor,core
83,II24,SN24,student_student,core
84,ER24,E-,student_anchor,core
85,EK24,JA24,student_student,core
86,TK24,F+2,student_anchor,core
87,F+2,B1,anchor_anchor,core
88,SN24,E+,student_anchor,core
89,JA24,D-,student_anchor,core
90,ES24,A1,student_anchor,core
91,JF24,TK24,student_student,core
92,EK24,LW24,student_student,core
93,ER24,II24,student_student,core
94,HJ17,JP24,student_student,core
95,E-,B2,anchor_anchor,core
96,SA24,F+1,student_anchor,core
97,C+,A2,anchor_anchor,core
98,D+,B2,anchor_anchor,core
99,II24,D-,student_anchor,core
100,JP24,TK24,student_student,core
101,LW24,B1,student_anchor,core
102,SN24,F+1,student_anchor,core
103,ES24,F+2,student_anchor,core
104,EK24,JF24,student_student,core
105,HJ17,JA24,student_student,core
106,SA24,E+,student_anchor,core
107,E-,A2,anchor_anchor,core
108,ER24,A1,student_anchor,core
109,D-,C+,anchor_anchor,core
110,F+2,D+,anchor_anchor,core
111,ER24,HJ17,student_student,core
112,TK24,A1,student_anchor,core
113,II24,JA24,student_student,core
114,C-,A2,anchor_anchor,core
115,SN24,B2,student_anchor,core
116,SA24,B1,student_anchor,core
117,ES24,E-,student_anchor,core
118,LW24,E+,student_anchor,core
119,JF24,JP24,student_student,core
120,EK24,F+1,student_anchor,core
121,ER24,F+1,student_anchor,core
122,F+2,D-,anchor_anchor,core
123,II24,C-,student_anchor,core
124,ES24,D+,student_anchor,core
125,EK24,HJ17,student_student,core
126,SA24,A2,student_anchor,core
127,SN24,A1,student_anchor,core
128,LW24,TK24,student_student,core
129,E-,C+,anchor_anchor,core
130,E+,B2,anchor_anchor,core
131,JA24,JP24,student_student,core
132,C-,B1,anchor_anchor,core
133,JF24,A1,student_anchor,core
134,JA24,D+,student_anchor,core
135,ER24,JP24,student_student,core
136,F+1,C+,anchor_anchor,core
137,TK24,B2,student_anchor,core
138,LW24,A2,student_anchor,core
139,II24,F+2,student_anchor,core
140,HJ17,SA24,student_student,core
141,JF24,E-,student_anchor,core
142,SN24,B1,student_anchor,core
143,EK24,ES24,student_student,core
144,E+,C-,anchor_anchor,core
145,D-,B2,anchor_anchor,core
146,HJ17,SN24,student_student,core
147,ES24,JP24,student_student,core
148,EK24,A1,student_anchor,core
149,II24,LW24,student_student,core
