rater_name,pair_id,essay_a_id,essay_b_id,essay_a_display,essay_b_display,comparison_type,status
Agneta D,42,TK24,SN24,TK24,SN24,student_student,core
Agneta D,43,SN24,HJ17,SN24,HJ17,student_student,core
Agneta D,44,HJ17,SA24,HJ17,SA24,student_student,core
Agneta D,45,SA24,LW24,SA24,LW24,student_student,core
Agneta D,48,D+,D-,SA1706,SA1705,anchor_anchor,core
Agneta D,55,JP24,E+,JP24,SA1704,student_anchor,core
Agneta D,94,SA24,B1,SA24,SA1709,student_anchor,extra
Agneta D,117,SN24,B1,SN24,SA1709,student_anchor,extra
Agneta D,118,HJ17,B1,HJ17,SA1709,student_anchor,extra
Agneta D,119,JP24,C-,JP24,SA1707,student_anchor,extra
Ann B,2,JA24,B1,JA24,SA1709,student_anchor,core
Ann B,5,II24,C+,II24,SA1708,student_anchor,core
Ann B,8,ES24,B1,ES24,SA1709,student_anchor,core
Ann B,14,JA24,ES24,JA24,ES24,student_student,core
Ann B,18,B1,A1,SA1709,SA1711,anchor_anchor,core
Ann B,26,SN24,C-,SN24,SA1707,student_anchor,core
Ann B,85,ES24,B2,ES24,SA1710,student_anchor,extra
Ann B,88,TK24,B1,TK24,SA1709,student_anchor,extra
Ann B,99,JA24,B2,JA24,SA1710,student_anchor,extra
Ann B,100,II24,A2,II24,SA1712,student_anchor,extra
Anna P,46,LW24,JF24,LW24,JF24,student_student,core
Anna P,49,C+,C-,SA1708,SA1707,anchor_anchor,core
Anna P,50,D-,E+,SA1705,SA1704,anchor_anchor,core
Anna P,51,EK24,ER24,EK24,ER24,student_student,core
Anna P,56,JP24,E-,JP24,SA1703,student_anchor,core
Anna P,62,E+,E-,SA1704,SA1703,anchor_anchor,core
Anna P,91,C+,B1,SA1708,SA1709,anchor_anchor,extra
Anna P,120,EK24,B1,EK24,SA1709,student_anchor,extra
Anna P,121,ER24,B1,ER24,SA1709,student_anchor,extra
Anna P,122,JP24,B2,JP24,SA1710,student_anchor,extra
Erik A,10,EK24,C+,EK24,SA1708,student_anchor,core
Erik A,11,EK24,C-,EK24,SA1707,student_anchor,core
Erik A,16,ES24,EK24,ES24,EK24,student_student,core
Erik A,20,ER24,C-,ER24,SA1707,student_anchor,core
Erik A,24,TK24,D+,TK24,SA1706,student_anchor,core
Erik A,32,SA24,D+,SA24,SA1706,student_anchor,core
Erik A,86,EK24,B1,EK24,SA1709,student_anchor,extra
Erik A,87,ER24,B2,ER24,SA1710,student_anchor,extra
Erik A,105,TK24,B2,TK24,SA1710,student_anchor,extra
Erik A,106,EK24,A1,EK24,SA1711,student_anchor,extra
Hanna L,58,JP24,JF24,JP24,JF24,student_student,core
Hanna L,59,JP24,LW24,JP24,LW24,student_student,core
Hanna L,60,JP24,SA24,JP24,SA24,student_student,core
Hanna L,61,JF24,LW24,JF24,LW24,student_student,core
Hanna L,64,E-,F+1,SA1703,SA1701,anchor_anchor,core
Hanna L,68,II24,B1,II24,SA1709,student_anchor,core
Hanna L,127,JP24,B1,JP24,SA1709,student_anchor,extra
Hanna L,128,JP24,C+,JP24,SA1708,student_anchor,extra
Hanna L,129,LW24,B2,LW24,SA1710,student_anchor,extra
Hanna L,130,JF24,B2,JF24,SA1710,student_anchor,extra
Jenny L,52,ER24,SN24,ER24,SN24,student_student,core
Jenny L,53,HJ17,LW24,HJ17,LW24,student_student,core
Jenny L,54,SA24,JF24,SA24,JF24,student_student,core
Jenny L,57,JP24,D-,JP24,SA1705,student_anchor,core
Jenny L,63,SA24,B2,SA24,SA1710,student_anchor,core
