rater_name,pair_id,essay_a_id,essay_b_id,essay_a_display,essay_b_display,comparison_type
Rater_01,12,EK24,F+1,essay_11,essay_14,student_anchor
Rater_02,1,F+1,F+2,essay_14,essay_15,anchor_anchor
Rater_03,26,JA24,SA24,essay_18,essay_22,student_student
Rater_04,13,ER24,F+1,essay_12,essay_14,student_anchor
Rater_05,2,F+2,E-,essay_15,essay_10,anchor_anchor
Rater_06,37,ER24,JF24,essay_12,essay_19,student_student
Rater_07,14,ES24,F+1,essay_13,essay_14,student_anchor
Rater_08,3,E-,E+,essay_10,essay_09,anchor_anchor
Rater_09,39,EK24,ER24,essay_11,essay_12,student_student
Rater_10,15,HJ17,F+1,essay_16,essay_14,student_anchor
Rater_11,4,E+,D-,essay_09,essay_08,anchor_anchor
Rater_12,40,II24,LW24,essay_17,essay_21,student_student
Rater_13,16,II24,F+1,essay_17,essay_14,student_anchor
Rater_14,5,D-,D+,essay_08,essay_07,anchor_anchor
Rater_01,41,LW24,SN24,essay_21,essay_23,student_student
Rater_02,17,JA24,F+1,essay_18,essay_14,student_anchor
Rater_03,6,D+,C-,essay_07,essay_06,anchor_anchor
Rater_04,42,ES24,TK24,essay_13,essay_24,student_student
Rater_05,18,JF24,F+1,essay_19,essay_14,student_anchor
Rater_06,7,C-,C+,essay_06,essay_05,anchor_anchor
Rater_07,46,II24,SA24,essay_17,essay_22,student_student
Rater_08,19,JP24,F+1,essay_20,essay_14,student_anchor
Rater_09,8,C+,B1,essay_05,essay_03,anchor_anchor
Rater_10,49,ES24,HJ17,essay_13,essay_16,student_student
Rater_11,20,LW24,F+1,essay_21,essay_14,student_anchor
Rater_12,9,B1,B2,essay_03,essay_04,anchor_anchor
Rater_13,51,HJ17,JP24,essay_16,essay_20,student_student
Rater_14,21,SA24,F+1,essay_22,essay_14,student_anchor
Rater_01,10,B2,A1,essay_04,essay_01,anchor_anchor
Rater_02,52,ES24,JA24,essay_13,essay_18,student_student
Rater_03,22,SN24,F+1,essay_23,essay_14,student_anchor
Rater_04,11,A1,A2,essay_01,essay_02,anchor_anchor
Rater_05,62,ER24,II24,essay_12,essay_17,student_student
Rater_06,23,TK24,F+1,essay_24,essay_14,student_anchor
Rater_07,43,E-,C-,essay_10,essay_06,anchor_anchor
Rater_08,63,HJ17,JF24,essay_16,essay_19,student_student
Rater_09,24,EK24,A2,essay_11,essay_02,student_anchor
Rater_10,44,C+,A2,essay_05,essay_02,anchor_anchor
Rater_11,64,EK24,ES24,essay_11,essay_13,student_student
Rater_12,25,JA24,D-,essay_18,essay_08,student_anchor
Rater_13,45,D+,B2,essay_07,essay_04,anchor_anchor
Rater_14,71,EK24,JP24,essay_11,essay_20,student_student
Rater_01,27,ES24,B1,essay_13,essay_03,student_anchor
Rater_02,54,E-,B1,essay_10,essay_03,anchor_anchor
Rater_03,72,LW24,SA24,essay_21,essay_22,student_student
Rater_04,28,SA24,A1,essay_22,essay_01,student_anchor
Rater_05,61,F+2,A1,essay_15,essay_01,anchor_anchor
Rater_06,73,ES24,II24,essay_13,essay_17,student_student
Rater_07,29,II24,B2,essay_17,essay_04,student_anchor
Rater_08,65,D+,A2,essay_07,essay_02,anchor_anchor
Rater_09,76,ES24,SN24,essay_13,essay_23,student_student
Rater_10,30,ER24,D+,essay_12,essay_07,student_anchor
Rater_11,67,E+,C+,essay_09,essay_05,anchor_anchor
Rater_12,83,ER24,HJ17,essay_12,essay_16,student_student
Rater_13,31,JF24,A2,essay_19,essay_02,student_anchor
Rater_14,75,E-,D-,essay_10,essay_08,anchor_anchor
Rater_01,87,EK24,JA24,essay_11,essay_18,student_student
Rater_02,32,JP24,C+,essay_20,essay_05,student_anchor
Rater_03,79,E-,A2,essay_10,essay_02,anchor_anchor
Rater_04,91,EK24,LW24,essay_11,essay_21,student_student
Rater_05,33,LW24,E-,essay_21,essay_10,student_anchor
Rater_06,85,F+2,B1,essay_15,essay_03,anchor_anchor
Rater_07,94,SA24,TK24,essay_22,essay_24,student_student
Rater_08,34,SN24,E+,essay_23,essay_09,student_anchor
