rater_name,pair_id,essay_a_id,essay_b_id,essay_a_display,essay_b_display,comparison_type,status
Marcus,1,F+1,F+2,SA1701,SA1702,anchor_anchor,core
Marcus,2,F+2,E-,SA1702,SA1703,anchor_anchor,core
Marcus,3,E-,E+,SA1703,SA1704,anchor_anchor,core
Marcus,4,E+,D-,SA1704,SA1705,anchor_anchor,core
Marcus,5,D-,D+,SA1705,SA1706,anchor_anchor,core
Marcus,6,D+,C-,SA1706,SA1707,anchor_anchor,core
Marcus,7,C-,C+,SA1707,SA1708,anchor_anchor,core
Marcus,8,C+,B1,SA1708,SA1709,anchor_anchor,core
Marcus,9,B1,B2,SA1709,SA1710,anchor_anchor,core
Marcus,10,B2,A1,SA1710,SA1711,anchor_anchor,core
Agneta,11,A1,A2,SA1711,SA1712,anchor_anchor,core
Agneta,12,JA24,B1,JA24,SA1709,student_anchor,core
Agneta,13,JA24,A1,JA24,SA1711,student_anchor,core
Agneta,14,JA24,A2,JA24,SA1712,student_anchor,core
Agneta,15,II24,C+,II24,SA1708,student_anchor,core
Agneta,16,II24,B2,II24,SA1710,student_anchor,core
Agneta,17,II24,A1,II24,SA1711,student_anchor,core
Agneta,18,ES24,C-,ES24,SA1707,student_anchor,core
Agneta,19,ES24,C+,ES24,SA1708,student_anchor,core
Agneta,20,ES24,B1,ES24,SA1709,student_anchor,core
Hanna,21,EK24,C-,EK24,SA1707,student_anchor,core
Hanna,22,EK24,C+,EK24,SA1708,student_anchor,core
Hanna,23,EK24,B2,EK24,SA1710,student_anchor,core
Hanna,24,ER24,D+,ER24,SA1706,student_anchor,core
Hanna,25,ER24,C+,ER24,SA1708,student_anchor,core
Hanna,26,ER24,B1,ER24,SA1709,student_anchor,core
Hanna,27,TK24,D+,TK24,SA1706,student_anchor,core
Hanna,28,TK24,C-,TK24,SA1707,student_anchor,core
Hanna,29,TK24,C+,TK24,SA1708,student_anchor,core
Hanna,30,SN24,D+,SN24,SA1706,student_anchor,core
Erik,31,SN24,C-,SN24,SA1707,student_anchor,core
Erik,32,SN24,C+,SN24,SA1708,student_anchor,core
Erik,33,HJ17,D-,HJ17,SA1705,student_anchor,core
Erik,34,HJ17,D+,HJ17,SA1706,student_anchor,core
Erik,35,HJ17,C-,HJ17,SA1707,student_anchor,core
Erik,36,SA24,D-,SA24,SA1705,student_anchor,core
Erik,37,SA24,C-,SA24,SA1707,student_anchor,core
Erik,38,SA24,B2,SA24,SA1710,student_anchor,core
Erik,39,LW24,D-,LW24,SA1705,student_anchor,core
Erik,40,LW24,D+,LW24,SA1706,student_anchor,core
Robin,41,LW24,C-,LW24,SA1707,student_anchor,core
Robin,42,JF24,E+,JF24,SA1704,student_anchor,core
Robin,43,JF24,D-,JF24,SA1705,student_anchor,core
Robin,44,JF24,D+,JF24,SA1706,student_anchor,core
Robin,45,JP24,F+1,JP24,SA1701,student_anchor,core
Robin,46,JP24,E-,JP24,SA1703,student_anchor,core
Robin,47,JP24,D-,JP24,SA1705,student_anchor,core
Robin,48,F+2,A2,SA1702,SA1712,anchor_anchor,core
Robin,49,ES24,F+1,ES24,SA1701,student_anchor,core
Robin,50,JA24,E+,JA24,SA1704,student_anchor,core
Sofia,51,F+2,A1,SA1702,SA1711,anchor_anchor,core
Sofia,52,SA24,E-,SA24,SA1703,student_anchor,core
Sofia,53,B2,A2,SA1710,SA1712,anchor_anchor,core
Sofia,54,JF24,F+1,JF24,SA1701,student_anchor,core
Sofia,55,HJ17,TK24,HJ17,TK24,student_student,core
Sofia,56,JA24,E-,JA24,SA1703,student_anchor,core
Sofia,57,II24,SA24,II24,SA24,student_student,core
Sofia,58,EK24,ER24,EK24,ER24,student_student,core
Sofia,59,JA24,F+1,JA24,SA1701,student_anchor,core
Sofia,60,ER24,A2,ER24,SA1712,student_anchor,core
Mats,61,II24,JF24,II24,JF24,student_student,core
Mats,62,F+2,E+,SA1702,SA1704,anchor_anchor,core
Mats,63,EK24,SA24,EK24,SA24,student_student,core
Mats,64,JP24,SN24,JP24,SN24,student_student,core
Mats,65,ES24,HJ17,ES24,HJ17,student_student,core
Mats,66,JA24,TK24,JA24,TK24,student_student,core
Mats,67,LW24,E-,LW24,SA1703,student_anchor,core
Mats,68,LW24,A1,LW24,SA1711,student_anchor,core
Mats,69,JF24,B1,JF24,SA1709,student_anchor,core
Mats,70,JP24,LW24,JP24,LW24,student_student,core
Lena,71,ER24,E+,ER24,SA1704,student_anchor,core
Lena,72,EK24,F+2,EK24,SA1702,student_anchor,core
Lena,73,LW24,F+1,LW24,SA1701,student_anchor,core
Lena,74,ES24,II24,ES24,II24,student_student,core
Lena,75,SN24,A2,SN24,SA1712,student_anchor,core
Lena,76,SA24,TK24,SA24,TK24,student_student,core
Lena,77,JP24,B1,JP24,SA1709,student_anchor,core
Lena,78,JF24,A2,JF24,SA1712,student_anchor,core
Lena,79,ES24,E+,ES24,SA1704,student_anchor,core
Lena,80,F+1,B2,SA1701,SA1710,anchor_anchor,core
Ullis,81,HJ17,E-,HJ17,SA1703,student_anchor,core
Ullis,82,SA24,A1,SA24,SA1711,student_anchor,core
Ullis,83,II24,SN24,II24,SN24,student_student,core
Ullis,84,ER24,E-,ER24,SA1703,student_anchor,core
Ullis,85,EK24,JA24,EK24,JA24,student_student,core
Ullis,86,TK24,F+2,TK24,SA1702,student_anchor,core
Ullis,87,F+2,B1,SA1702,SA1709,anchor_anchor,core
Ullis,88,SN24,E+,SN24,SA1704,student_anchor,core
Ullis,89,JA24,D-,JA24,SA1705,student_anchor,core
Ullis,90,ES24,A1,ES24,SA1711,student_anchor,core
Ingrid,91,JF24,TK24,JF24,TK24,student_student,core
Ingrid,92,EK24,LW24,EK24,LW24,student_student,core
Ingrid,93,ER24,II24,ER24,II24,student_student,core
Ingrid,94,HJ17,JP24,HJ17,JP24,student_student,core
Ingrid,95,E-,B2,SA1703,SA1710,anchor_anchor,core
Ingrid,96,SA24,F+1,SA24,SA1701,student_anchor,core
Ingrid,97,C+,A2,SA1708,SA1712,anchor_anchor,core
Ingrid,98,D+,B2,SA1706,SA1710,anchor_anchor,core
Ingrid,99,II24,D-,II24,SA1705,student_anchor,core
Ingrid,100,JP24,TK24,JP24,TK24,student_student,core
